column,dtype,non_null_count,missing_count,missing_pct,unique_count
Rndrng_NPI,int64,9781673,0,0.0,1207473
Rndrng_Prvdr_Last_Org_Name,str,9781673,0,0.0,290816
Rndrng_Prvdr_First_Name,str,9306806,474867,4.85,84734
Rndrng_Prvdr_MI,str,6316628,3465045,35.42,32
Rndrng_Prvdr_Crdntls,str,8701966,1079707,11.04,18018
Rndrng_Prvdr_Ent_Cd,str,9781673,0,0.0,2
Rndrng_Prvdr_St1,str,9781673,0,0.0,425655
Rndrng_Prvdr_St2,str,2143677,7637996,78.08,51376
Rndrng_Prvdr_City,str,9781673,0,0.0,12736
Rndrng_Prvdr_State_Abrvtn,str,9781673,0,0.0,62
Rndrng_Prvdr_State_FIPS,str,9781668,5,0.0,61
Rndrng_Prvdr_Zip5,str,9781672,1,0.0,20746
Rndrng_Prvdr_RUCA,float64,9776382,5291,0.05,22
Rndrng_Prvdr_RUCA_Desc,str,9776382,5291,0.05,15
Rndrng_Prvdr_Cntry,str,9781673,0,0.0,25
Rndrng_Prvdr_Type,str,9781673,0,0.0,113
Rndrng_Prvdr_Mdcr_Prtcptg_Ind,str,9781673,0,0.0,2
HCPCS_Cd,str,9781673,0,0.0,6471
HCPCS_Desc,str,9781673,0,0.0,6462
HCPCS_Drug_Ind,str,9781673,0,0.0,2
Place_Of_Srvc,str,9781673,0,0.0,2
Tot_Benes,int64,9781673,0,0.0,9361
Tot_Srvcs,float64,9781673,0,0.0,31765
Tot_Bene_Day_Srvcs,int64,9781673,0,0.0,11752
Avg_Sbmtd_Chrg,float64,9781673,0,0.0,2197498
Avg_Mdcr_Alowd_Amt,float64,9781673,0,0.0,6570314
Avg_Mdcr_Pymt_Amt,float64,9781673,0,0.0,6332463
Avg_Mdcr_Stdzd_Amt,float64,9781673,0,0.0,5766618
